Replace Part  U_ESP32 in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with U_ESP32 from QiTian Mini Remote Control.SchLib
Replace Part C? C in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with C from QiTian Mini Remote Control.SchLib
Replace Part C? C in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with C from QiTian Mini Remote Control.SchLib
Replace Part C? C_1 in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with C_1 from QiTian Mini Remote Control.SchLib
Replace Part C? C in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with C from QiTian Mini Remote Control.SchLib
Replace Part C? C in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with C from QiTian Mini Remote Control.SchLib
Replace Part C? C in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with C from QiTian Mini Remote Control.SchLib
Replace Part C? C in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with C from QiTian Mini Remote Control.SchLib
Replace Part C? C in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with C from QiTian Mini Remote Control.SchLib
Replace Part C? C in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with C from QiTian Mini Remote Control.SchLib
Replace Part C? C in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with C from QiTian Mini Remote Control.SchLib
Replace Part J? J_2 in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with J_2 from QiTian Mini Remote Control.SchLib
Replace Part L? L in G:\QiTian Aircraft\QiTian Mini Remote Control\QiTian Mini Remote Control\QiTian Mini Remote Control.SchDoc with L from QiTian Mini Remote Control.SchLib
